,date,year,T00,T06,T12,T18,min,max,sum,cumsum
0,2020-01-01,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-02,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-03,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-04,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-05,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-06,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-07,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-08,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-09,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-10,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-11,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-12,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-13,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-01-14,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-01-15,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-01-16,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-01-17,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-18,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-01-19,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-01-20,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-01-21,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-01-22,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-01-23,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-01-24,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-01-25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-01-26,2020,0.0,2.764800000000003,0.0,10.533888000000395,0.0,10.533888000000395,13.298688000000398,13.298688000000398
26,2020-01-27,2020,0.0,4.230144000000159,16.906751999999862,0.0,0.0,16.906751999999862,21.13689600000002,34.43558400000042
27,2020-01-28,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
28,2020-01-29,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
29,2020-01-30,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
30,2020-01-31,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
31,2020-02-01,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
32,2020-02-02,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
33,2020-02-03,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
34,2020-02-04,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
35,2020-02-05,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
36,2020-02-06,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
37,2020-02-07,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
38,2020-02-08,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
39,2020-02-09,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
40,2020-02-10,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
41,2020-02-11,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
42,2020-02-12,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.43558400000042
43,2020-02-13,2020,0.0,1.410048000000053,0.0,0.0,0.0,1.410048000000053,1.410048000000053,35.84563200000047
44,2020-02-14,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
45,2020-02-15,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
46,2020-02-16,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
47,2020-02-17,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
48,2020-02-18,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
49,2020-02-19,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
50,2020-02-20,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
51,2020-02-21,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
52,2020-02-22,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
53,2020-02-23,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
54,2020-02-24,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
55,2020-02-25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
56,2020-02-26,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
57,2020-02-27,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
58,2020-02-28,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
59,2020-02-29,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
60,2020-03-01,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
61,2020-03-02,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
62,2020-03-03,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84563200000047
63,2020-03-04,2020,0.0,0.0,25.574399999999763,49.24108799999969,0.0,49.24108799999969,74.81548799999945,110.66111999999993
64,2020-03-05,2020,4.465151999999945,0.0,24.191999999999915,0.0,0.0,24.191999999999915,28.65715199999986,139.31827199999978
65,2020-03-06,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
66,2020-03-07,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
67,2020-03-08,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
68,2020-03-09,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
69,2020-03-10,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
70,2020-03-11,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
71,2020-03-12,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
72,2020-03-13,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
73,2020-03-14,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.31827199999978
74,2020-03-15,2020,0.0,0.0,0.0,2.073600000000079,0.0,2.073600000000079,2.073600000000079,141.39187199999986
75,2020-03-16,2020,0.0,0.0,4.465151999999945,0.0,0.0,4.465151999999945,4.465151999999945,145.8570239999998
76,2020-03-17,2020,6.1931520000000315,0.0,0.6635520000000258,0.0,0.0,6.1931520000000315,6.856704000000057,152.71372799999986
77,2020-03-18,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.71372799999986
78,2020-03-19,2020,0.0,0.0,0.0,25.228800000000078,0.0,25.228800000000078,25.228800000000078,177.94252799999995
